ISO_Code,Year,Fertilizer_Usage,Crop_Type,Y_Productivity,Temp_Mean,Irrigation_Proxy
ESP,2003,175.270953368672,Barley,114.13,14.78,0.472103288
ESP,2003,175.270953368672,Maize (corn),97.06,14.78,0.472103288
ESP,2003,175.270953368672,Wheat,91.13,14.78,0.472103288
ESP,2004,165.402610364683,Barley,139.6,14.18,0.451296293
ESP,2004,165.402610364683,Maize (corn),108.08,14.18,0.451296293
ESP,2004,165.402610364683,Wheat,102.82,14.18,0.451296293
ESP,2005,142.139549291412,Barley,60.7,13.99,0.382803994
ESP,2005,142.139549291412,Maize (corn),89.07,13.99,0.382803994
ESP,2005,142.139549291412,Wheat,58.34,13.99,0.382803994
ESP,2006,142.329481132075,Barley,106.76,14.87,0.365538489
ESP,2006,142.329481132075,Maize (corn),75.07,14.87,0.365538489
ESP,2006,142.329481132075,Wheat,79.99,14.87,0.365538489
ESP,2007,157.722231050373,Barley,156.73,14.01,0.393769997
ESP,2007,157.722231050373,Maize (corn),80.78,14.01,0.393769997
ESP,2007,157.722231050373,Wheat,93.25,14.01,0.393769997
ESP,2008,106.544602818706,Barley,147.76,13.97,0.372111084
ESP,2008,106.544602818706,Maize (corn),81.18,13.97,0.372111084
ESP,2008,106.544602818706,Wheat,97.27,13.97,0.372111084
ESP,2009,96.9269424661919,Barley,95.73,14.56,0.316452926
ESP,2009,96.9269424661919,Maize (corn),78.65,14.56,0.316452926
ESP,2009,96.9269424661919,Wheat,69.61,14.56,0.316452926
ESP,2010,130.675287356322,Barley,106.99,13.89,0.344154048
ESP,2010,130.675287356322,Maize (corn),74.38,13.89,0.344154048
ESP,2010,130.675287356322,Wheat,86.07,13.89,0.344154048
ESP,2011,122.616461501328,Barley,108.73,14.9,0.347065254
ESP,2011,122.616461501328,Maize (corn),93.96,14.9,0.347065254
ESP,2011,122.616461501328,Wheat,99.63,14.9,0.347065254
ESP,2012,122.58082736674601,Barley,78.15,14.37,0.334811301
ESP,2012,122.58082736674601,Maize (corn),95.35,14.37,0.334811301
ESP,2012,122.58082736674601,Wheat,75.19,14.37,0.334811301
ESP,2013,143.596502750185,Barley,131.27,14.11,0.385354081
ESP,2013,143.596502750185,Maize (corn),109.28,14.11,0.385354081
ESP,2013,143.596502750185,Wheat,112.21,14.11,0.385354081
ESP,2014,151.356084052777,Barley,91.62,14.95,0.369872776
ESP,2014,151.356084052777,Maize (corn),106.85,14.95,0.369872776
ESP,2014,151.356084052777,Wheat,93.76,14.95,0.369872776
ESP,2015,151.501520578716,Barley,87.98,14.92,0.444376417
ESP,2015,151.501520578716,Maize (corn),102.11,14.92,0.444376417
ESP,2015,151.501520578716,Wheat,92.18,14.92,0.444376417
ESP,2016,143.966125159883,Barley,120.4,14.78,0.487039151
ESP,2016,143.966125159883,Maize (corn),91.04,14.78,0.487039151
ESP,2016,143.966125159883,Wheat,114.06,14.78,0.487039151
ESP,2017,155.495204046233,Barley,75.92,15.08,0.510097936
ESP,2017,155.495204046233,Maize (corn),84.47,15.08,0.510097936
ESP,2017,155.495204046233,Wheat,70.64,15.08,0.510097936
ESP,2018,157.698525390563,Barley,125.36,14.48,0.538474112
ESP,2018,157.698525390563,Maize (corn),85.96,14.48,0.538474112
ESP,2018,157.698525390563,Wheat,120.57,14.48,0.538474112
ESP,2019,157.475910775353,Barley,101.61,14.73,0.496545405
ESP,2019,157.475910775353,Maize (corn),93.61,14.73,0.496545405
ESP,2019,157.475910775353,Wheat,87.52,14.73,0.496545405
ESP,2020,167.144467719512,Barley,150.44,14.93,0.507031547
ESP,2020,167.144467719512,Maize (corn),94.27,14.93,0.507031547
ESP,2020,167.144467719512,Wheat,117.98,14.93,0.507031547
ESP,2021,157.991217599046,Barley,121.71,14.45,0.524006965
ESP,2021,157.991217599046,Maize (corn),102.86,14.45,0.524006965
ESP,2021,157.991217599046,Wheat,124.08,14.45,0.524006965
ESP,2022,110.60258773099,Barley,92.24,15.56,0.474597664
ESP,2022,110.60258773099,Maize (corn),80.32,15.56,0.474597664
ESP,2022,110.60258773099,Wheat,94.3,15.56,0.474597664
FRA,2003,223.363915705973,Barley,83.78,13.4,1.172349061
FRA,2003,223.363915705973,Maize (corn),82.32,13.4,1.172349061
FRA,2003,223.363915705973,Wheat,82.36,13.4,1.172349061
FRA,2004,212.108013937282,Barley,93.86,12.7,1.198352411
FRA,2004,212.108013937282,Maize (corn),111.91,12.7,1.198352411
FRA,2004,212.108013937282,Wheat,107.25,12.7,1.198352411
FRA,2005,192.46256312032,Barley,87.74,12.7,1.153942769
FRA,2005,192.46256312032,Maize (corn),93.55,12.7,1.153942769
FRA,2005,192.46256312032,Wheat,99.68,12.7,1.153942769
FRA,2006,190.38257265936,Barley,88.48,13.21,1.003550875
FRA,2006,190.38257265936,Maize (corn),88.18,13.21,1.003550875
FRA,2006,190.38257265936,Wheat,95.56,13.21,1.003550875
FRA,2007,209.338189454343,Barley,80.59,12.99,1.252738647
FRA,2007,209.338189454343,Maize (corn),99.13,12.99,1.252738647
FRA,2007,209.338189454343,Wheat,88.54,12.99,1.252738647
FRA,2008,152.446534236153,Barley,103.53,12.62,1.796610506
FRA,2008,152.446534236153,Maize (corn),109.6,12.62,1.796610506
FRA,2008,152.446534236153,Wheat,105.41,12.62,1.796610506
FRA,2009,120.56342502821,Barley,109.56,12.99,1.282957483
FRA,2009,120.56342502821,Maize (corn),106.02,12.99,1.282957483
FRA,2009,120.56342502821,Wheat,103.6,12.99,1.282957483
FRA,2010,150.537957564465,Barley,85.93,12.06,1.679173388
FRA,2010,150.537957564465,Maize (corn),95.51,12.06,1.679173388
FRA,2010,150.537957564465,Wheat,103.25,12.06,1.679173388
FRA,2011,141.299303944316,Barley,74.65,13.6,1.708044181
FRA,2011,141.299303944316,Maize (corn),108.75,13.6,1.708044181
FRA,2011,141.299303944316,Wheat,97.26,13.6,1.708044181
FRA,2012,160.786305431114,Barley,96.48,12.83,1.707924793
FRA,2012,160.786305431114,Maize (corn),105.2,12.83,1.707924793
FRA,2012,160.786305431114,Wheat,102.38,12.83,1.707924793
FRA,2013,169.417394582015,Barley,87.75,12.45,1.556506293
FRA,2013,169.417394582015,Maize (corn),102.79,12.45,1.556506293
FRA,2013,169.417394582015,Wheat,104.45,12.45,1.556506293
FRA,2014,168.426725431051,Barley,99.77,13.68,2.177596326
