ISO_Code,Year,Fertilizer_Usage,Crop_Type,Y_Productivity,Temp_Mean,Irrigation_Proxy,Precip_Annual,Temp_Mean_Sq,log_Yield,Irrig_Rate
ESP,2003,175.270953368672,Barley,114.13,14.78,0.472103288,0.026,218.4484,4.737338149565509,14.3
ESP,2003,175.270953368672,Maize (corn),97.06,14.78,0.472103288,0.026,218.4484,4.57532934397707,14.3
ESP,2003,175.270953368672,Wheat,91.13,14.78,0.472103288,0.026,218.4484,4.5122870585080355,14.3
FRA,2003,223.363915705973,Barley,83.78,13.4,1.172349061,0.029,179.56,4.428194315518889,7.95
FRA,2003,223.363915705973,Maize (corn),82.32,13.4,1.172349061,0.029,179.56,4.410614091525794,7.95
FRA,2003,223.363915705973,Wheat,82.36,13.4,1.172349061,0.029,179.56,4.411099882159589,7.95
GRC,2003,152.658923303835,Barley,51.44,15.42,0.640784243,0.029,237.7764,3.940416079929364,36.45
GRC,2003,152.658923303835,Maize (corn),147.69,15.42,0.640784243,0.029,237.7764,4.9951154824382185,36.45
GRC,2003,152.658923303835,Wheat,111.24,15.42,0.640784243,0.029,237.7764,4.711690029365764,36.45
ITA,2003,177.702475185325,Barley,109.78,12.64,1.005414959,0.03,159.76960000000003,4.698478363121743,25.950000000000003
ITA,2003,177.702475185325,Maize (corn),112.76,12.64,1.005414959,0.03,159.76960000000003,4.7252616662459115,25.950000000000003
ITA,2003,177.702475185325,Wheat,82.79,12.64,1.005414959,0.03,159.76960000000003,4.416307281150715,25.950000000000003
PRT,2003,119.658779480449,Barley,30.31,16.3,0.124443751,0.026,265.69,3.4114776910697118,14.55
PRT,2003,119.658779480449,Maize (corn),99.04,16.3,0.124443751,0.026,265.69,4.595523808936286,14.55
PRT,2003,119.658779480449,Wheat,166.68,16.3,0.124443751,0.026,265.69,5.116075806554253,14.55
ROU,2003,38.6328249973339,Barley,31.47,9.608,0.759838905,0.022,92.31366400000002,3.4490347110763153,3.1999999999999997
ROU,2003,38.6328249973339,Maize (corn),90.47,9.608,0.759838905,0.022,92.31366400000002,4.50501830403765,3.1999999999999997
ROU,2003,38.6328249973339,Wheat,31.02,9.608,0.759838905,0.022,92.31366400000002,3.4346321577483927,3.1999999999999997
ESP,2004,165.402610364683,Barley,139.6,14.18,0.451296293,0.022,201.0724,4.938781190328272,14.3
ESP,2004,165.402610364683,Maize (corn),108.08,14.18,0.451296293,0.022,201.0724,4.6828716936519434,14.3
