ISO_Code;Year;Value
FRA;1995;1.872571
FRA;1996;1.868634
FRA;1997;1.935611
FRA;1998;1.930171
FRA;1999;1.843571
FRA;2000;1.800535
FRA;2001;1.833232
FRA;2002;1.659635
FRA;2003;1.883511
FRA;2004;1.623359
FRA;2005;1.626819
FRA;2006;1.615331
FRA;2007;1.741921
FRA;2008;1.726523
FRA;2009;1.535498
FRA;2010;1.536714
FRA;2011;1.631922
FRA;2012;1.924361
FRA;2013;1.942485
FRA;2014;1.576903
FRA;2015;1.531948
FRA;2016;1.581986
FRA;2017;1.401381
FRA;2018;1.43584
FRA;2019;1.427099
FRA;2020;1.463909
FRA;2021;1.600506
FRA;2022;1.588942
FRA;2023;1.97158
GRC;1995;0.677493
GRC;1996;0.699441
GRC;1997;0.862925
GRC;1998;0.764037
GRC;1999;0.802386
GRC;2000;0.848116
GRC;2001;0.969571
GRC;2002;0.873791
GRC;2003;0.929346
GRC;2004;0.984069
GRC;2005;1.187627
GRC;2006;1.028205
GRC;2007;1.472521
GRC;2008;1.788682
GRC;2009;1.53636
GRC;2010;1.743905
GRC;2011;1.426819
GRC;2012;1.300113
GRC;2013;2.18736
GRC;2014;1.623438
GRC;2015;1.975799
GRC;2016;2.450405
GRC;2017;2.009093
GRC;2018;2.501261
GRC;2019;2.624414
GRC;2020;2.288913
GRC;2021;2.549624
GRC;2022;2.338391
GRC;2023;3.269049
ITA;1995;1.427875
ITA;1996;1.364035
ITA;1997;1.409281
ITA;1998;1.399232
ITA;1999;1.38044
ITA;2000;1.497922
ITA;2001;1.436034
ITA;2002;1.493657
ITA;2003;1.547115
ITA;2004;1.443947
ITA;2005;1.54981
ITA;2006;1.635604
ITA;2007;1.512952
ITA;2008;1.389806
ITA;2009;1.260903
ITA;2010;1.344106
ITA;2011;1.470781
ITA;2012;1.48182
ITA;2013;1.273439
ITA;2014;1.31126
ITA;2015;1.238022
ITA;2016;1.296915
ITA;2017;1.524627
ITA;2018;1.632444
ITA;2019;1.681153
ITA;2020;1.550366
ITA;2021;1.560039
ITA;2022;1.666703
ITA;2023;1.787352
PRT;1995;1.210012
PRT;1996;1.206091
PRT;1997;1.212341
PRT;1998;1.35197
PRT;1999;1.350828
PRT;2000;1.305602
PRT;2001;1.390632
PRT;2002;1.510013
PRT;2003;1.524734
PRT;2004;1.530519
PRT;2005;1.388601
PRT;2006;1.330645
PRT;2007;1.393734
PRT;2008;1.378659
PRT;2009;1.264103
PRT;2010;1.377981
PRT;2011;1.52427
PRT;2012;1.680451
PRT;2013;1.767553
PRT;2014;1.840512
PRT;2015;1.891824
PRT;2016;1.778201
PRT;2017;1.744137
PRT;2018;1.658188
PRT;2019;1.555371
PRT;2020;1.559916
PRT;2021;1.519023
PRT;2022;1.43458
PRT;2023;1.346845
ROU;1995;0.462457
ROU;1996;2.454842
ROU;1997;0.720022
ROU;1998;0.542613
ROU;1999;0.434916
ROU;2000;0.705673
ROU;2001;0.415161
ROU;2002;0.454823
ROU;2003;0.473527
ROU;2004;0.552287
ROU;2005;0.539704
ROU;2006;0.784017
ROU;2007;0.858624
ROU;2008;0.709222
ROU;2009;0.738013
ROU;2010;1.251576
ROU;2011;0.892516
ROU;2012;1.163992
ROU;2013;1.540361
ROU;2014;0.96457
ROU;2015;1.056586
ROU;2016;0.80784
ROU;2017;1.192519
ROU;2018;0.671477
ROU;2019;0.91479
ROU;2020;0.975161
ROU;2021;0.889897
ROU;2022;1.435576
ROU;2023;1.39637
ESP;1995;0.763995
ESP;1996;0.792059
ESP;1997;0.755919
ESP;1998;0.765763
ESP;1999;0.78348
ESP;2000;0.638302
ESP;2001;0.573709
ESP;2002;0.58249
ESP;2003;0.588241
ESP;2004;0.611019
ESP;2005;0.675913
ESP;2006;0.485754
ESP;2007;0.479837
ESP;2008;0.620929
ESP;2009;0.801058
ESP;2010;0.735595
ESP;2011;0.734222
ESP;2012;0.84135
ESP;2013;0.756783
ESP;2014;0.805554
ESP;2015;0.853419
ESP;2016;1.033462
ESP;2017;1.138281
ESP;2018;1.044568
ESP;2019;0.951987
ESP;2020;0.928196
ESP;2021;0.916473
ESP;2022;1.147298
ESP;2023;1.086404
