Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2003","2003","","191.73","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2004","2004","","226.8","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2005","2005","","202.95","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2006","2006","","178.83","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2007","2007","","159.85","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2008","2008","","104.69","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2009","2009","","110.49","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2010","2010","","71.67","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2011","2011","","63.83","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2012","2012","","99.3","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2013","2013","","63.3","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2014","2014","","107.2","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2015","2015","","78.37","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2016","2016","","114.43","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2017","2017","","108.31","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2018","2018","","113.53","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2019","2019","","113.53","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2020","2020","","206.97","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2021","2021","","194.91","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2022","2022","","253.18","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2023","2023","","214","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2003","2003","","204.87","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2004","2004","","240.61","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2005","2005","","213.74","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2006","2006","","187.05","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2007","2007","","166.17","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2008","2008","","108.23","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2009","2009","","113.63","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2010","2010","","73.35","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2011","2011","","65","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2012","2012","","100.61","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2013","2013","","63.8","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2014","2014","","107.55","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2015","2015","","78.35","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2016","2016","","114.11","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2017","2017","","107.67","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2018","2018","","112.46","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2019","2019","","112.1","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2020","2020","","203.81","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2021","2021","","191.42","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2022","2022","","247.92","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01371","Almonds, in shell","2023","2023","","209.05","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2003","2003","","91.59","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2004","2004","","95.77","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2005","2005","","97.31","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2006","2006","","89.34","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2007","2007","","94.8","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2008","2008","","90.53","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2009","2009","","92.01","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2010","2010","","93.16","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2011","2011","","93.77","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2012","2012","","69.49","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2013","2013","","89.81","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2014","2014","","98.29","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2015","2015","","104.73","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2016","2016","","96.99","E","Estimated value"
